Card ID	Card Name	Image	Drink ID
0	The Fool	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_00.png	
1	The Magician	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_01.png	
2	The High Priestess	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_02.png	
3	The Empress	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_03.png	
4	The Emperor	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_04.png	
5	The Hierophant	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_05.png	
6	The Lovers	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_06.png	
7	The Chariot	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_07.png	
8	Strength	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_08.png	
9	The Hermit	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_09.png	
10	Wheel of Fortune	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_10.png	
11	Justice	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_11.png	
12	The Hanged Man	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_12.png	
13	Death	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_13.png	
14	Temperance	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_14.png	
15	The Devil	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_15.png	
16	The Tower	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_16.png	
17	The Star	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_17.png	
18	The Moon	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_18.png	
19	The Sun	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_19.png	
20	Judgement	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_20.png	
21	The World	/Users/anthonycassetta/AntFarm/DrinkTarot/Majors/maj_21.png	
