field_name	field_id
DESY_SORT_KEY	LDS Beneficiary ID
CLAIM_NO	Claim number
PRVDR_NUM	Provider Number
CLM_THRU_DT	Claim Through Date  (Determines Year of Claim)
NCH_NEAR_LINE_REC_IDENT_CD	NCH Near Line Record Identification Code
NCH_CLM_TYPE_CD	NCH Claim Type Code
CLAIM_QUERY_CODE	Claim Query Code
CLM_FAC_TYPE_CD	Claim Facility Type Code
CLM_SRVC_CLSFCTN_TYPE_CD	Claim Service classification Type Code
CLM_FREQ_CD	Claim Frequency Code
FI_NUM	FI Number
CLM_MDCR_NON_PMT_RSN_CD	Claim Medicare Non Payment Reason Code
CLM_PMT_AMT	Claim Payment Amount
NCH_PRMRY_PYR_CLM_PD_AMT	NCH Primary Payer Claim Paid Amount
NCH_PRMRY_PYR_CD	NCH Primary Payer Code
FI_CLM_ACTN_CD	FI Claim Action Code
PRVDR_STATE_CD	NCH Provider State Code
ORG_NPI_NUM	Organization NPI Number
AT_PHYSN_UPIN	Claim Attending Physician UPIN Number
AT_PHYSN_NPI	Claim Attending Physician NPI Number
OP_PHYSN_UPIN	Claim Operating Physician UPIN Number
OP_PHYSN_NPI	Claim Operating Physician NPI Number
OT_PHYSN_UPIN	Claim Other Physician UPIN Number
OT_PHYSN_NPI	Claim Other Physician NPI Number
CLM_MCO_PD_SW	Claim MCO Paid Switch
PTNT_DSCHRG_STUS_CD	Patient Discharge Status Code
CLM_PPS_IND_CD	Claim PPS Indicator Code
CLM_TOT_CHRG_AMT	Claim Total Charge Amount
CLM_ADMSN_DT	Claim Admission Date
CLM_IP_ADMSN_TYPE_CD	Claim Inpatient Admission Type Code
CLM_SRC_IP_ADMSN_CD	Claim Source Inpatient Admission Code
NCH_PTNT_STATUS_IND_CD	NCH Patient Status Indicator Code
CLM_PASS_THRU_PER_DIEM_AMT	Claim Pass Thru Per Diem Amount
NCH_BENE_IP_DDCTBL_AMT	NCH Beneficiary Inpatient Deductible Amount
NCH_BENE_PTA_COINSRNC_LBLTY_AM	NCH Beneficiary Part A Coinsurance Liability Amount
NCH_BENE_BLOOD_DDCTBL_LBLTY_AM	NCH Beneficiary Blood Deductible Liability Amount
NCH_PROFNL_CMPNT_CHRG_AMT	NCH Professional Component Charge Amount
NCH_IP_NCVRD_CHRG_AMT	NCH Inpatient Noncovered Charge Amount
CLM_TOT_PPS_CPTL_AMT	Claim Total PPS Capital Amount
CLM_PPS_CPTL_FSP_AMT	Claim PPS Capital FSP Amount
CLM_PPS_CPTL_OUTLIER_AMT	Claim PPS Capital Outlier Amount
CLM_PPS_CPTL_DSPRPRTNT_SHR_AMT	Claim PPS Capital Disproportionate Share Amount
CLM_PPS_CPTL_IME_AMT	Claim PPS Capital IME Amount
CLM_PPS_CPTL_EXCPTN_AMT	Claim PPS Capital Exception Amount
CLM_PPS_OLD_CPTL_HLD_HRMLS_AMT	Claim PPS Old Capital Hold Harmless Amount
CLM_PPS_CPTL_DRG_WT_NUM	Claim PPS Capital DRG Weight Number
CLM_UTLZTN_DAY_CNT	Claim Utilization Day Count
BENE_TOT_COINSRNC_DAYS_CNT	Beneficiary Total Coinsurance Days Count
BENE_LRD_USED_CNT	Beneficiary LRD Used Count
CLM_NON_UTLZTN_DAYS_CNT	Claim Non Utilization Days Count
NCH_BLOOD_PNTS_FRNSHD_QTY	NCH Blood Pints Furnished Quantity
NCH_VRFD_NCVRD_STAY_FROM_DT	NCH Verified Noncovered Stay From Date
NCH_VRFD_NCVRD_STAY_THRU_DT	NCH Verified Noncovered Stay Through Date
NCH_BENE_MDCR_BNFTS_EXHTD_DT_I	NCH Beneficiary Medicare Benefits Exhausted Date
NCH_BENE_DSCHRG_DT	NCH Beneficiary Discharge Date
CLM_DRG_CD	Claim Diagnosis Related Group Code
CLM_DRG_OUTLIER_STAY_CD	Claim Diagnosis Related Group Outlier Stay Code
NCH_DRG_OUTLIER_APRVD_PMT_AMT	NCH DRG Outlier Approved Payment Amount
ADMTG_DGNS_CD	Claim Admitting Diagnosis Code
ADMTG_DGNS_VRSN_CD	Claim Admitting Diagnosis Code Diagnosis Version Code (ICD-9 or ICD-10)
PRNCPAL_DGNS_CD	Primary Claim Diagnosis Code
PRNCPAL_DGNS_VRSN_CD	Primary Claim Diagnosis Code Diagnosis Version Code (ICD-9 or ICD-10)
ICD_DGNS_CD1	Claim Diagnosis Code I
ICD_DGNS_VRSN_CD1	Claim Diagnosis Code I Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW1	Claim Diagnosis Code I Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD2	Claim Diagnosis Code II
ICD_DGNS_VRSN_CD2	Claim Diagnosis Code II Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW2	Claim Diagnosis Code II Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD3	Claim Diagnosis Code III
ICD_DGNS_VRSN_CD3	Claim Diagnosis Code III Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW3	Claim Diagnosis Code III Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD4	Claim Diagnosis Code IV
ICD_DGNS_VRSN_CD4	Claim Diagnosis Code IV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW4	Claim Diagnosis Code IV Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD5	Claim Diagnosis Code V
ICD_DGNS_VRSN_CD5	Claim Diagnosis Code V Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW5	Claim Diagnosis Code V Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD6	Claim Diagnosis Code VI
ICD_DGNS_VRSN_CD6	Claim Diagnosis Code VI Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW6	Claim Diagnosis Code VI Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD7	Claim Diagnosis Code VII
ICD_DGNS_VRSN_CD7	Claim Diagnosis Code VII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW7	Claim Diagnosis Code VII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD8	Claim Diagnosis Code VIII
ICD_DGNS_VRSN_CD8	Claim Diagnosis Code VIII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW8	Claim Diagnosis Code VIII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD9	Claim Diagnosis Code IX
ICD_DGNS_VRSN_CD9	Claim Diagnosis Code IX Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW9	Claim Diagnosis Code IX Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD10	Claim Diagnosis Code X
ICD_DGNS_VRSN_CD10	Claim Diagnosis Code X Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW10	Claim Diagnosis Code X Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD11	Claim Diagnosis Code XI
ICD_DGNS_VRSN_CD11	Claim Diagnosis Code XI Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW11	Claim Diagnosis Code XI Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD12	Claim Diagnosis Code XII
ICD_DGNS_VRSN_CD12	Claim Diagnosis Code XII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW12	Claim Diagnosis Code XII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD13	Claim Diagnosis Code XIII
ICD_DGNS_VRSN_CD13	Claim Diagnosis Code XIII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW13	Claim Diagnosis Code XIII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD14	Claim Diagnosis Code XIV
ICD_DGNS_VRSN_CD14	Claim Diagnosis Code XIV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW14	Claim Diagnosis Code XIV Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD15	Claim Diagnosis Code XV
ICD_DGNS_VRSN_CD15	Claim Diagnosis Code XV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW15	Claim Diagnosis Code XV Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD16	Claim Diagnosis Code XVI
ICD_DGNS_VRSN_CD16	Claim Diagnosis Code XVI Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW16	Claim Diagnosis Code XVI Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD17	Claim Diagnosis Code XVII
ICD_DGNS_VRSN_CD17	Claim Diagnosis Code XVII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW17	Claim Diagnosis Code XVII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD18	Claim Diagnosis Code XVIII
ICD_DGNS_VRSN_CD18	Claim Diagnosis Code XVIII Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW18	Claim Diagnosis Code XVIII Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD19	Claim Diagnosis Code XIV
ICD_DGNS_VRSN_CD19	Claim Diagnosis Code XIV Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW19	Claim Diagnosis Code XIV Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD20	Claim Diagnosis Code XX
ICD_DGNS_VRSN_CD20	Claim Diagnosis Code XX Diagnosis Version Code (ICD-9 or ICD-10)
CLM_POA_IND_SW20	Claim Diagnosis Code XX Diagnosis Present on Admission Indicator Code
ICD_DGNS_CD21	Claim Diagnosis Code XXI
ICD_DGNS_VRSN_CD21	Claim Diagnosis Code XXI Diagnosis Version Code (ICD-9 or ICD-10)
